SuicideRate_Type,BothSexes,Male,Female,BothSexes,Male,Female,BothSexes,Male,Female,Male_Avg,Female_Avg,Both_Avg
Sao Tome and Principe,1.15,1.77,0.52,1.13,1.73,0.52,1.5,2.2,0.8,1.9000000000000001,0.6133333333333334,1.26
Saudi Arabia,7.87,10.95,3.55,7.86,10.92,3.56,6.0,8.9,2.0,10.256666666666666,3.0366666666666666,7.243333333333333
Senegal,7.58,11.87,3.25,7.68,12.03,3.3,6.0,9.2,3.0,11.033333333333331,3.1833333333333336,7.086666666666666
Serbia,15.91,23.78,8.07,16.46,24.93,8.04,11.4,16.6,6.3,21.77,7.47,14.590000000000002
Seychelles,5.77,9.92,1.13,7.3,12.64,1.35,8.1,14.4,1.4,12.32,1.2933333333333332,7.0566666666666675
Sierra Leone,5.09,6.91,3.29,5.08,6.88,3.3,6.7,8.3,5.1,7.363333333333333,3.8966666666666665,5.623333333333334
Singapore,7.75,10.19,5.21,8.15,10.89,5.3,11.2,15.0,7.1,12.026666666666666,5.87,9.033333333333333
Slovakia,12.34,21.31,3.79,12.43,21.49,3.78,12.1,21.2,3.4,21.333333333333332,3.6566666666666667,12.29
Slovenia,17.12,28.01,6.37,17.07,27.78,6.51,19.8,31.4,8.3,29.063333333333333,7.06,17.996666666666666
Solomon Islands,18.27,27.24,8.94,18.55,27.58,9.14,14.7,27.0,1.9,27.27333333333333,6.659999999999999,17.173333333333332
Somalia,5.78,7.11,4.39,5.85,7.2,4.45,7.9,12.0,3.8,8.770000000000001,4.213333333333334,6.510000000000001
South Africa,15.3,25.55,5.46,15.1,25.24,5.35,23.5,37.6,9.8,29.463333333333335,6.87,17.966666666666665
South Korea,25.81,36.96,14.58,25.63,36.61,14.56,28.6,40.2,16.9,37.92333333333333,15.346666666666666,26.679999999999996
South Sudan,8.03,12.19,3.84,8.14,12.45,3.8,3.9,5.7,2.0,10.113333333333333,3.2133333333333334,6.69
Spain,7.73,11.86,3.78,7.55,11.58,3.69,7.7,11.4,4.2,11.613333333333332,3.89,7.66
Sri Lanka,16.27,26.45,6.78,14.86,23.88,6.43,14.0,22.3,6.2,24.209999999999997,6.47,15.043333333333331
Sudan,4.28,5.41,3.11,4.34,5.44,3.2,3.8,4.9,2.8,5.250000000000001,3.0366666666666666,4.140000000000001
Suriname,23.6,37.42,10.13,25.17,40.11,10.58,25.4,38.8,11.8,38.776666666666664,10.836666666666668,24.723333333333333
Sweden,12.32,16.76,7.82,12.98,17.83,8.06,14.7,19.9,9.5,18.163333333333334,8.46,13.333333333333334
Switzerland,11.72,17.43,6.03,11.48,17.03,5.97,14.5,20.2,9.0,18.22,7.0,12.566666666666668
Syria,0.89,1.44,0.39,0.89,1.43,0.39,2.0,3.2,0.7,2.0233333333333334,0.49333333333333335,1.26
Taiwan,16.04,21.9,10.29,15.87,21.56,10.28,,,,21.729999999999997,10.285,15.954999999999998
Tajikistan,3.37,4.91,1.79,3.41,4.95,1.83,4.3,5.7,2.8,5.1866666666666665,2.14,3.6933333333333334
Tanzania,5.66,8.9,2.59,5.65,8.86,2.6,4.3,6.6,2.0,8.12,2.3966666666666665,5.203333333333333
Thailand,12.0,20.1,4.44,11.95,19.98,4.44,8.8,15.0,2.9,18.36,3.926666666666667,10.916666666666666
Timor-Leste,4.08,5.62,2.49,4.04,5.55,2.49,3.7,5.3,2.0,5.489999999999999,2.3266666666666667,3.94
Togo,7.88,12.41,3.54,7.89,12.42,3.53,8.8,13.8,3.9,12.876666666666665,3.6566666666666667,8.19
Tokelau,15.83,19.54,11.97,15.95,19.71,12.05,,,,19.625,12.010000000000002,15.89
Tonga,4.64,5.97,3.31,4.62,5.93,3.31,3.8,5.0,2.6,5.633333333333333,3.0733333333333337,4.353333333333333
Trinidad and Tobago,13.82,23.21,4.4,13.93,23.4,4.42,8.7,13.9,3.6,20.169999999999998,4.14,12.15
Tunisia,3.06,4.41,1.73,3.06,4.39,1.74,3.3,4.7,1.9,4.5,1.7899999999999998,3.14
Turkey,3.84,6.02,1.65,3.82,5.95,1.68,2.4,3.6,1.2,5.1899999999999995,1.51,3.3533333333333335
Turkmenistan,9.72,14.57,4.65,9.73,14.58,4.67,5.7,8.8,2.7,12.65,4.006666666666667,8.383333333333335
Tuvalu,16.49,23.79,8.56,16.61,23.92,8.68,,,,23.855,8.620000000000001,16.549999999999997
Uganda,5.84,9.79,2.01,5.88,9.86,2.01,4.6,7.6,1.7,9.083333333333334,1.9066666666666665,5.44
Ukraine,23.17,41.4,7.43,22.9,40.96,7.32,21.6,39.2,6.5,40.52,7.083333333333333,22.55666666666667
United Arab Emirates,2.37,2.79,1.3,2.69,3.16,1.48,6.4,8.0,3.0,4.6499999999999995,1.9266666666666667,3.8200000000000003
United Kingdom,8.47,13.18,3.93,8.29,12.89,3.85,7.9,11.8,4.0,12.623333333333335,3.926666666666667,8.219999999999999
United States,15.25,24.13,6.66,15.38,24.33,6.73,16.1,25.0,7.5,24.486666666666665,6.963333333333334,15.576666666666668
United States Virgin Islands,7.02,12.76,1.6,8.14,14.81,1.86,,,,13.785,1.73,7.58
Uruguay,21.31,36.61,7.23,20.05,34.15,7.06,21.2,34.5,8.9,35.086666666666666,7.7299999999999995,20.853333333333335
Uzbekistan,8.96,12.29,5.65,9.12,12.4,5.85,8.0,11.3,4.8,11.996666666666664,5.433333333333334,8.693333333333333
Vanuatu,16.31,25.01,7.45,16.37,25.05,7.5,18.0,28.1,7.6,26.05333333333333,7.516666666666666,16.893333333333334
Venezuela,8.11,14.2,2.41,8.06,14.08,2.39,2.1,3.5,0.7,10.593333333333334,1.8333333333333337,6.090000000000001
Vietnam,8.01,10.97,5.07,8.02,10.98,5.07,7.5,10.4,4.7,10.783333333333333,4.946666666666666,7.843333333333334
Yemen,3.56,4.63,2.46,3.56,4.61,2.48,5.8,7.0,4.6,5.413333333333334,3.1799999999999997,4.306666666666667
Zambia,8.16,13.42,2.99,8.28,13.63,3.02,7.3,12.0,2.7,13.016666666666666,2.9033333333333338,7.913333333333333
Zimbabwe,17.61,26.57,9.32,17.56,26.5,9.25,14.1,20.0,8.8,24.356666666666666,9.123333333333333,16.423333333333336
