Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature
Europe,Switzerland,2019,Both sexes,9.83,7.93,12.04,49.04392694063927
Eastern Mediterranean,Bahrain,2019,Male,9.86,6.06,14.38,79.97232876712329
Europe,Norway,2019,Both sexes,9.91,9.0,10.95,39.80958904109589
Americas,Barbados,2018,Female,0.16,0.11,0.22,77.88571428571429
Americas,Barbados,2018,Both sexes,0.31,0.22,0.43,77.88571428571429
Americas,Barbados,2018,Male,0.5,0.36,0.67,77.88571428571429
Eastern Mediterranean,Kuwait,2018,Female,0.72,0.49,1.02,80.1558904109589
Eastern Mediterranean,Jordan,2018,Female,0.93,0.61,1.35,64.8131506849315
Americas,Honduras,2018,Female,0.99,0.54,1.71,67.97753424657535
Americas,Panama,2018,Female,1.02,0.69,1.44,76.95479452054795
Eastern Mediterranean,Oman,2018,Female,1.13,0.67,1.79,75.0695890410959
Americas,Bahamas,2018,Female,1.19,0.8,1.71,76.63041095890411
South-East Asia,Indonesia,2018,Female,1.17,0.9,1.51,80.56904109589041
Western Pacific,Philippines,2018,Female,1.31,1.0,9.62,80.58191780821919
Eastern Mediterranean,Lebanon,2018,Female,1.55,0.86,2.56,67.42657534246575
Eastern Mediterranean,Qatar,2018,Female,1.68,1.02,2.61,82.39972602739726
Americas,Belize,2018,Female,1.65,1.19,2.26,78.54849315068493
Americas,Colombia,2018,Female,1.69,1.17,2.34,54.83972602739726
Eastern Mediterranean,Tunisia,2018,Female,1.84,0.9,3.14,65.4613698630137
Africa,Algeria,2018,Female,1.91,1.01,3.15,62.18082191780822
Eastern Mediterranean,Jordan,2018,Both sexes,1.94,1.27,2.81,64.8131506849315
Eastern Mediterranean,Morocco,2018,Male,9.95,4.5,18.15,61.19534246575342
Europe,France,2018,Both sexes,10.05,8.22,15.42,51.521232876712325
Europe,Iceland,2018,Both sexes,10.12,7.98,12.53,39.42356164383562
Europe,Norway,2018,Both sexes,10.13,9.23,11.14,41.73342465753425
Americas,Cuba,2018,Both sexes,10.17,7.9,17.28,73.50164383561643
Africa,Nigeria,2018,Male,10.25,6.11,17.76,79.5527397260274
Africa,Uganda,2018,Both sexes,10.25,6.33,16.09,69.8309589041096
Americas,Guatemala,2018,Male,10.42,7.57,14.03,64.16657534246575
Europe,Poland,2018,Both sexes,10.4,8.43,12.65,49.65041095890411
Western Pacific,Singapore,2018,Male,10.37,8.49,12.52,80.34821917808219
Americas,Brazil,2018,Male,10.41,9.53,16.92,69.46438356164384
Europe,Bulgaria,2018,Male,10.51,7.65,13.97,51.37616438356165
Americas,Canada,2018,Both sexes,10.5,8.62,14.92,36.807534246575344
Western Pacific,New Zealand,2018,Both sexes,10.66,8.97,12.56,58.83068493150685
