Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP,Population,Happiness Index
Africa,Nigeria,2019,Both sexes,6.87,3.84,11.43,80.33123287671233,2334.0172723874666,203304492.0,4.266
Western Pacific,Japan,2019,Female,6.91,6.45,7.35,55.25077625570776,40686.26776488963,126633000.0,5.908
Eastern Mediterranean,Bahrain,2019,Both sexes,7.2,4.46,10.45,79.97232876712329,25869.206182092556,1494188.0,7.098
Europe,Portugal,2019,Both sexes,7.22,5.68,9.06,59.2945205479452,23322.518802026178,10286263.0,6.095
Eastern Mediterranean,Morocco,2019,Both sexes,7.29,3.38,13.65,59.73150684931507,3551.0912359602585,36304408.0,5.057
Europe,Romania,2019,Both sexes,7.33,5.47,9.6,53.04383561643836,12856.689173670482,19371648.0,6.13
Americas,Costa Rica,2019,Both sexes,7.62,5.29,10.53,70.66931506849315,12669.341161735572,5084532.0,6.998
Europe,Denmark,2019,Both sexes,7.63,5.99,9.6,46.86493150684932,59783.649338656745,5814422.0,7.693
Americas,Belize,2019,Both sexes,7.65,5.53,10.27,78.84876712328767,6134.2152327837675,389095.0,6.2035
Americas,Uruguay,2019,Female,7.67,5.91,9.69,59.540547945205475,18098.361548791,3428409.0,6.6
Europe,Sweden,2019,Female,7.73,6.53,9.06,44.18,51994.89528538041,10278887.0,7.398
Eastern Mediterranean,Saudi Arabia,2019,Male,7.79,4.67,12.15,78.69410958904109,23405.706108770533,35827362.0,6.561
Americas,Nicaragua,2019,Male,7.79,5.08,21.03,79.15835616438356,1905.6375060957484,6663924.0,6.113
Europe,Spain,2019,Male,7.88,6.38,9.6,58.2565296803653,29583.693322770436,47134837.0,6.457
Americas,Haiti,2019,Female,7.98,4.41,13.06,73.38301369863014,1260.2869670747727,11160438.0,3.9309230769230767
Africa,Guinea,2019,Female,8.03,4.55,13.3,62.41530054644809,1043.9035115883423,12877539.0,4.768
Americas,Argentina,2019,Both sexes,8.14,6.47,10.05,60.407123287671226,10006.693110619826,44938712.0,6.086
Europe,Germany,2019,Both sexes,8.27,6.74,10.0,48.25071225071225,46774.0774776299,83092962.0,7.035
Europe,Belgium,2019,Female,8.41,6.75,10.26,50.01342465753425,46554.24513801604,11488980.0,6.772
Americas,Dominican Republic,2019,Male,8.53,4.91,14.09,75.61808219178081,8173.344645803636,10881882.0,6.004
Western Pacific,China,2019,Male,8.63,6.49,11.53,59.34558904109589,10043.13017714862,1407745000.0,5.144
Americas,Mexico,2019,Male,8.69,7.06,10.57,65.32584474885844,10434.56743883823,125085311.0,6.432
Africa,Mozambique,2019,Female,8.92,4.87,14.98,72.40630136986302,512.2157610346017,30285595.0,4.932
