Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP
Eastern Mediterranean,Qatar,2019,Both sexes,4.66,2.87,7.46,81.38575342465754,62827.39695430236
Americas,Nicaragua,2019,Both sexes,4.66,3.02,11.76,79.15835616438356,1905.6375060957484
Eastern Mediterranean,Pakistan,2019,Female,4.75,3.02,7.17,28.234246575342464,1307.3335009782547
Americas,Panama,2019,Male,4.8,3.24,6.83,77.65315068493152,16472.831754845563
Western Pacific,China,2019,Female,4.8,3.76,6.03,59.34558904109589,10043.13017714862
Americas,Suriname,2019,Male,41.33,28.17,58.2,76.90438356164383,7087.787593483165
Africa,Mozambique,2019,Male,42.56,25.51,65.22,72.40630136986302,512.2157610346017
Americas,Dominican Republic,2019,Both sexes,5.11,2.94,8.42,75.61808219178081,8173.344645803636
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,5.24,2.92,8.39,81.73095890410958,45376.17083815792
Africa,Senegal,2019,Female,5.18,2.99,8.17,73.56301369863014,1462.6783520711049
Europe,Albania,2019,Male,5.27,2.69,8.25,59.467123287671235,5359.239078357407
Africa,Kenya,2019,Female,5.31,3.83,7.1,64.67561643835616,1970.0800629653995
Europe,Spain,2019,Both sexes,5.28,4.23,6.47,58.2565296803653,29583.693322770436
Americas,Mexico,2019,Both sexes,5.29,4.28,6.46,65.32584474885844,10434.56743883823
Africa,Madagascar,2019,Female,5.42,3.13,8.8,64.46657534246575,512.2796655827365
Eastern Mediterranean,Saudi Arabia,2019,Both sexes,5.43,3.24,8.5,78.69410958904109,23405.706108770533
Americas,Canada,2019,Female,5.38,4.25,11.35,36.24027397260274,46469.22720143606
Western Pacific,New Zealand,2019,Female,5.41,4.39,6.58,57.93972602739726,42943.494146244775
Europe,Hungary,2019,Female,5.51,4.0,7.44,51.51945205479451,16785.088465995297
Western Pacific,Mongolia,2019,Female,5.62,3.35,8.72,29.263835616438353,4394.947150112733
Western Pacific,Australia,2019,Female,5.58,4.45,6.83,61.28761643835616,54407.64462080841
